t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
1272,2023-06-12,-0.007087285857427396,0.001881091064006358,0.03957741041781458,0.9524738436557231,12.556573974528163,0.9920512540735377,1,0,3,750,-546.7984231759301,5,0,accepted,0,0
1297,2023-07-20,0.0005607750926525061,0.0011780888308074477,0.033829642018262114,0.9619958203563379,15.943262054737554,0.9958254623746,1,0,1,750,-527.9715956748337,5,0,accepted,0,0
1322,2023-08-25,-0.005444201582179487,0.001183655907172122,0.0356087501886406,0.9596633131266221,13.992996679244945,0.9952720633152627,1,0,5,750,-522.2749505913349,5,0,accepted,0,0
1347,2023-10-04,-0.013884004303578517,0.0012179342520470726,0.03470117896144038,0.9606392498918916,14.49686444565482,0.9953404288533321,1,0,4,750,-521.4249235604084,5,0,accepted,0,0
1372,2023-11-10,-0.014621950298779827,0.001105798856202344,0.03235201233604551,0.963845448739425,12.049668626599102,0.9961974610754705,1,0,2,750,-514.6510334797308,5,0,accepted,0,0
1397,2023-12-18,-0.013332229515974387,0.0010737177405757746,0.03242470417364267,0.9641452460692247,10.413099787658444,0.9965699502428673,1,0,3,750,-519.8634781815219,5,0,accepted,0,0
1422,2024-01-31,-0.01548464882358609,0.0011004122086730019,0.032889957616472607,0.9634384631567687,9.891030512547966,0.9963284207732414,1,0,3,750,-520.0293241589102,5,0,accepted,0,0
1447,2024-03-11,-0.016534447138836346,0.0015438339192888949,0.036179248433794414,0.9584429025332492,10.636520182450743,0.9946221509670435,1,0,2,750,-512.1122207725978,5,0,accepted,0,0
1472,2024-04-18,-0.021685757641611365,0.001541375091162357,0.035289593464101474,0.9595885009498979,10.084366180491672,0.9948780944139993,1,0,2,750,-514.8484067046824,5,0,accepted,0,0
1497,2024-05-30,-0.015981080684125515,0.0008838679221754769,0.03581991427298684,0.9612127472025804,8.845313888531392,0.9970326614755672,1,0,5,750,-511.13405350053273,5,0,accepted,0,0
1522,2024-07-08,-0.011645018030313958,0.001046899627965307,0.0341365703214857,0.9628626277220216,8.031674913636094,0.9969991980435072,1,0,4,750,-508.59988327986014,5,0,accepted,0,0
1547,2024-08-14,-0.014503289203804512,0.0007098118938052435,0.03354868775395267,0.9648350387801138,7.411940811082978,0.9983837265340665,1,0,4,750,-501.4267934261466,5,0,accepted,0,0
1572,2024-09-24,-0.009578178775031301,0.001204320872574914,0.0315110462551212,0.9648042471228945,8.357012647268984,0.9963152933780157,1,0,1,750,-498.6521202602571,5,0,accepted,0,0
1597,2024-10-30,-0.015521177755185746,0.001232147594296268,0.03223261899357949,0.9638228475302475,8.762608013289157,0.996055466523827,1,0,3,750,-504.555883163196,5,0,accepted,0,0
1622,2024-12-06,-0.017803047912422335,0.0021449603994891093,0.0327416851993987,0.9605827460074596,8.072301223319435,0.9933244312068583,1,0,5,750,-520.7026756878968,5,0,accepted,0,0
1647,2025-01-24,-0.012662166707944155,0.0015212274696467306,0.03004767305723129,0.965364469674336,8.126255342578458,0.9954121427315673,1,0,3,750,-538.5232201626432,5,0,accepted,0,0
1672,2025-03-05,-0.006137681677872007,0.0017520860102106907,0.03173995121200444,0.9630758302770436,8.432447464133674,0.994815781489048,1,0,5,750,-543.9054919193104,5,0,accepted,0,0
1697,2025-04-10,-0.004899401437430019,0.0011087643208916931,0.029765834784102753,0.9673281165154942,8.315899291833224,0.997093951299597,1,0,1,750,-558.5609415518898,5,0,accepted,0,0
