coverage,width,winkler,n,n_missing,series,model
0.9447513812154696,17.172447737929907,23.3159892210726,1448,0,NatGas,GARCH-EVT
0.9412983425414365,16.85334151264683,23.39551463565862,1448,0,NatGas,RiskMetrics
0.9426795580110497,16.80317162030061,24.918693116737828,1448,0,NatGas,Hist
0.8383977900552486,11.746893912667915,27.655604682397772,1448,0,NatGas,Fixed-coefficient-control
0.955110497237569,2.038385276354757,2.533202300285713,1448,0,EURUSD=X,TCP
0.955110497237569,2.0397785841371427,2.5338654879487015,1448,0,EURUSD=X,TCP-RM
0.955110497237569,2.0323144202173973,2.5391641021915725,1448,0,EURUSD=X,CQR
0.9468232044198895,2.08867449791395,2.64927933197648,1448,0,EURUSD=X,ACI-fixed
0.8535911602209945,1.5245496664431728,3.2658927295206666,1448,0,EURUSD=X,Reversed-sign-control
0.830110497237569,1.358197308327362,3.4035359771626505,1448,0,EURUSD=X,QR-base
0.944060773480663,1.8476892546479933,2.5067405990052487,1448,0,EURUSD=X,GARCH-t
0.9399171270718232,1.8234145095083396,2.54429338132486,1448,0,EURUSD=X,FHS
0.9399171270718232,1.823963294831943,2.5379160827722864,1448,0,EURUSD=X,GARCH-EVT
0.9371546961325967,1.799161791307191,2.465249356508811,1448,0,EURUSD=X,RiskMetrics
0.9267955801104972,1.813656728311681,2.6584176778621784,1448,0,EURUSD=X,Hist
0.8308011049723757,1.2654175155636926,3.0319322101914628,1448,0,EURUSD=X,Fixed-coefficient-control
0.9482044198895028,2.595140363771422,3.3568796415907936,1448,0,GBPUSD=X,TCP
0.9488950276243094,2.6017260008053005,3.35725626136548,1448,0,GBPUSD=X,TCP-RM
0.9482044198895028,2.5917942564678165,3.357148903426167,1448,0,GBPUSD=X,CQR
0.9426795580110497,2.5602053808273295,3.336732305289575,1448,0,GBPUSD=X,ACI-fixed
0.8466850828729282,1.8130460829533512,4.203566461220022,1448,0,GBPUSD=X,Reversed-sign-control
0.8273480662983426,1.6327176220002684,4.3797597465261555,1448,0,GBPUSD=X,QR-base
0.9475138121546961,2.2615739732174083,3.0783589915272875,1448,0,GBPUSD=X,GARCH-t
0.9412983425414365,2.2061278003693965,3.101780107662015,1448,0,GBPUSD=X,FHS
0.9406077348066298,2.2320487181675386,3.098158246286342,1448,0,GBPUSD=X,GARCH-EVT
0.9357734806629834,2.199754710615966,3.054128660178223,1448,0,GBPUSD=X,RiskMetrics
0.9316298342541437,2.3046148323995177,3.374219937272072,1448,0,GBPUSD=X,Hist
0.8314917127071824,1.5373775275758392,3.7004739539888174,1448,0,GBPUSD=X,Fixed-coefficient-control
